client_reference|client_prenom|client_nom|client_age|client_ville|client_profession|client_email|client_telephone|articles|statut_signature
CLI-01|Benjamin|Girard|19|Angers|Avocat|benjamin.girard1@mail.fr|06 38 27 23 96|[{"reference": "VEH-001", "qte_initial": "3"}]|non_signe
CLI-02|Pauline|Roger|23|Annecy|Cadre|pauline.roger2@mail.fr|06 13 21 37 39|[{"reference": "VEH-002", "qte_initial": "1"}]|non_signe
CLI-03|Sandrine|Nicolas|19|Hyeres|Technicien|sandrine.nicolas3@mail.fr|06 93 99 79 63|[{"reference": "VEH-003", "qte_initial": "1"}]|non_signe
CLI-04|Marion|Gauthier|55|Angers|Comptable|marion.gauthier4@mail.fr|06 30 99 64 53|[{"reference": "VEH-004", "qte_initial": "3"}]|non_signe
CLI-05|Thomas|David|31|Le Mans|Enseignant|thomas.david5@mail.fr|06 21 58 22 55|[{"reference": "VEH-005", "qte_initial": "2"}]|non_signe
CLI-06|Florian|Nicolas|34|Marseille|Agriculteur|florian.nicolas6@mail.fr|06 68 78 25 58|[{"reference": "VEH-006", "qte_initial": "1"}]|non_signe
CLI-07|Anne|Blanc|36|Brest|Artisan|anne.blanc7@mail.fr|06 34 18 15 94|[{"reference": "VEH-007", "qte_initial": "1"}]|non_signe
CLI-08|Marion|Michel|23|Toulon|Enseignant|marion.michel8@mail.fr|06 58 45 68 91|[{"reference": "VEH-008", "qte_initial": "1"}]|non_signe
CLI-09|Loic|Vincent|41|Aix-en-Provence|Technicien|loic.vincent9@mail.fr|06 95 44 99 97|[{"reference": "VEH-009", "qte_initial": "3"}]|non_signe
CLI-10|Charlotte|Martinez|56|Rennes|Pharmacien|charlotte.martinez10@mail.fr|06 41 30 69 58|[{"reference": "VEH-010", "qte_initial": "1"}]|non_signe
CLI-11|Thomas|Blanc|32|Clermont-Ferrand|Cadre|thomas.blanc11@mail.fr|06 39 14 50 61|[{"reference": "VEH-011", "qte_initial": "3"}]|non_signe
CLI-12|Thomas|Martinez|31|Martigues|Electricien|thomas.martinez12@mail.fr|06 50 37 93 73|[{"reference": "VEH-012", "qte_initial": "3"}]|non_signe
CLI-13|Noemie|Perez|27|Dijon|Consultant|noemie.perez13@mail.fr|06 41 81 78 43|[{"reference": "VEH-013", "qte_initial": "3"}]|non_signe
CLI-14|Pauline|Masson|45|Amiens|Commercant|pauline.masson14@mail.fr|06 38 27 75 73|[{"reference": "VEH-014", "qte_initial": "1"}]|non_signe
CLI-15|Anne|Morel|73|Montpellier|Consultant|anne.morel15@mail.fr|06 90 30 97 64|[{"reference": "VEH-015", "qte_initial": "3"}]|non_signe
CLI-16|Caroline|Martinez|42|Tours|Employe|caroline.martinez16@mail.fr|06 69 77 42 80|[{"reference": "VEH-016", "qte_initial": "2"}]|non_signe
CLI-17|David|Girard|61|Valence|Ingenieur|david.girard17@mail.fr|06 92 53 24 47|[{"reference": "VEH-017", "qte_initial": "1"}]|non_signe
CLI-18|Vincent|Vincent|47|Paris|Agriculteur|vincent.vincent18@mail.fr|06 43 74 32 74|[{"reference": "VEH-018", "qte_initial": "1"}]|non_signe
CLI-19|Hugo|Garcia|71|Caen|Employe|hugo.garcia19@mail.fr|06 35 29 57 30|[{"reference": "VEH-019", "qte_initial": "1"}]|non_signe
CLI-20|Aurelie|Guillot|18|Clermont-Ferrand|Couvreur|aurelie.guillot20@mail.fr|06 12 24 56 49|[{"reference": "VEH-020", "qte_initial": "1"}]|non_signe
CLI-21|Nicolas|Morel|33|Martigues|Medecin|nicolas.morel21@mail.fr|06 20 72 18 78|[{"reference": "VEH-021", "qte_initial": "1"}]|non_signe
CLI-22|Patricia|Lambert|60|Metz|Pharmacien|patricia.lambert22@mail.fr|06 31 43 77 87|[{"reference": "VEH-022", "qte_initial": "3"}]|non_signe
CLI-23|Vincent|Richard|52|Le Havre|Electricien|vincent.richard23@mail.fr|06 49 61 95 93|[{"reference": "VEH-023", "qte_initial": "3"}]|non_signe
CLI-24|Loic|Gauthier|75|Mulhouse|Veterinaire|loic.gauthier24@mail.fr|06 25 41 38 18|[{"reference": "VEH-024", "qte_initial": "1"}]|non_signe
CLI-25|Pierre|Roux|55|Hyeres|Avocat|pierre.roux25@mail.fr|06 85 38 10 19|[{"reference": "VEH-025", "qte_initial": "3"}]|non_signe
CLI-26|Elodie|Morel|32|Nice|Cadre|elodie.morel26@mail.fr|06 52 19 75 40|[{"reference": "VEH-026", "qte_initial": "1"}]|non_signe
